0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34
99999700,100000825,100000747.78911799,100000570,99999490,99997240,99996715,99997555,99997555,99997525,100000001.5,100000016.5,100000001.5,100000001.5,100000016.5,99999646.12316522,99999673.12316522,99999826.24633044,99999700.12316522,99999732.4335495,99999985,100000000,100000000,99999985,100000016.5,100000790.475887,100004054.81019646,100002117.44693798,100001590.15107015,100000403.5,100000997.24450509,100000713.6189432,100000761.74450509,100000790.2377373,100001255.93172415
99999445,99999175.10509475,100000210,99999775,99999745,100000621.32513724,100000197.8368183,100000662.8368183,100000671.34849934,100000590.34849934,99999972.51168105,99999972.51168105,99999971.01168105,100000013.5,99999987.51168105,99999875.40398987,99999891.90398987,99999891.90398987,99999875.40398987,99999873.90398987,99999985,100000052.98831895,99999985,99999985,100000000,100002145.04424793,100000019.5,100000013.5,99999968.5,100000281.39266276,99999543.76028197,99999306.20016792,99999249.82777625,99999594.01702243,99999450.901981
99999565,99999444.19366033,99999790,99999805,99999535,99999360.43090115,99999509.12440602,99999439.8085835,99999559.52385518,99999358.40429175,100000013.17553647,100000002.67553647,100000011.67553647,100000017.67553647,100000002.67553647,99999830.4271154,99999885.57984924,99999860.97801614,99999867.23190254,99999904.43092218,100000000,100000000,100000000,100000000,99999985,99999480.17997289,100000034.92373215,100000079.5,99999965.9922272,99999988.06051357,100001137.89356238,100001193.82341935,100001099.42017178,100001111.80165254,100001160.39356238
99999610,99998975.10112485,99999505,99999490,99998083.28051925,100001713.4813399,100002278.50939555,100001728.52209958,100002104.90920964,100001482.62562034,99999982.0,99999982.0,100000000,99999997.0,99999982.0,100000025.84751728,99999963.20695798,99999929.3404091,99999988.26227312,99999934.02200843,100000055.17408922,100000000,100000040.2893199,100000067.81534468,100000054.90527968,100003180.08679734,100001051.66465133,99993221.64797874,100000295.44343169,99999867.77035455,99999591.86681403,99999137.83034329,99999511.25568591,99999559.07060961,99999610.07082498
99999850,100000195,99999550,100000075,99999955,99998635,99999085,99998905,99999145,99998770,100000000,100000000,100000000,100000000,100000000,99999899.5,99999899.5,99999898.0,99999914.5,99999884.5,100000000,100000032.22639751,99999985,99999985,100000017.22639751,99999835,99999790,99999880,100000435,99999895,100001095.0,100001224.77360249,100001628.27360249,100001314.0,100001222.5
99999580,100000045,99999910,99999955,99999550,100000389.55551466,100000330.92829473,100000172.42352517,100000178.34705034,100000147.0,99999929.5507451,99999982.07647483,99999982.0,99999983.5,99999979.0,99999899.42352517,99999884.42352517,99999884.42352517,99999884.42352517,99999884.5,100000016.5,100000001.5,100000001.5,100000003.0,100000001.5,99998357.5507451,99999758.5,100000656.55477192,99999755.5,99999878.5,100000366.07647483,100000572.64486764,100000300.0,100000375.0,100000404.097435
99999790,99999881.09333985,99999700,99999535,99999700,100000522.96166115,100000590.45236541,100000608.92563415,100000484.44422561,100000760.85410513,99999971.5,99999983.5,99999961.02983902,99999983.5,99999970.0,99999824.5,99999830.49070427,99999808.0,99999823.0,99999820.0,100000077.99070427,100000064.49070427,100000064.49070427,100000028.5,100000064.49070427,100000131.5081398,100000289.13128541,100000283.5,99999913.0,99999630.62931491,99999697.09295732,100000005.1633304,99999752.58366159,99999664.10225305,99999784.07436585
99999760,99999482.71463911,99999400.69370082,99999880,99999685,100000611.44743241,100000489.1403787,100000077.29087819,99999888.33768415,100000465.79244073,99999994.4544408,99999982.0,99999954.2603784,99999990.17556953,99999979.45398815,99999845.5,99999862.07001486,99999855.15140973,99999867.44586243,99999852.44586243,100000045.47032,100000048.92322433,100000037.61152786,100000000,100000035.42322433,100002282.37566598,100000158.5,100000220.5,100000316.78742386,100000075.98718818,99999815.5498945,99999481.0976559,99999473.34349345,99999509.02441543,99999576.03128572
99999685,99999625,99999760,100000000,99999805,100000177.0,100000199.5,100000172.5,100000148.0,100000174.0,100000000,100000000,100000000,99999983.5,99999982.5,99999958.0,99999958.0,99999943.0,99999959.0,99999943.0,100000001.5,100000000,100000001.5,100000000,100000001.5,99999584.5,99998773.0,99999986.5,100000978.0,99999718.0,100000198.5,100000583.0,100000170.0,100000407.0,100000124.0
100000090,99999820,99999640,100000411.97455053,99999775,99999293.5,99999304.7498686,99999412.7498686,99999729.6249343,99999766.7498686,99999986.8750657,99999997.0,99999997.0,99999986.8750657,99999997.0,99999733.3748029,99999735.9997372,99999719.8748029,99999719.8748029,99999717.2498686,100000050.6249343,100000025.1249343,100000038.6249343,100000000,100000034.1249343,99999950.5,99999671.5,99999865,99999804.3984128,99999993.6249343,100000848.62572269,100000735.3755913,100001151.25091979,100000968.62572269,100001027.12572269
